Battle Squadron -- stage 0 (surface / level 1) wave tables, dumped from re/trace/chip_2700.bin
Source: stage descriptor $14EA + stage*$8C: +0 = main list ($D00A), +4 = restart list ($CFCE, used by LAB_9D7E when the
level wraps: progress 7206 := 1, list := desc+4).  LAB_7556 ($CDA, once per game frame, after the hostile passes):
    while (progress7206 >= entry.trigger) { if (g7222 == 0) break;  pop entry; spawn }      (V: trace PC $755E/$7564 and objlog)
Entry = 12 bytes {trigger.w, x.w, y.w, type.b, pad.b, script.l}.  x == $FFFF => clear the whole hostile pool (no spawn).
Trigger $FFFF terminates (never reached).  Spawn (LAB_75E4/7608): x < $320 ? x + scroll7204 : x - 1000 + 256 ;  y + 256.
Screen position = (x - scroll7204, y - 256).  Type 6 ignores x: x := rnd&$7f + $40, type := 6.  Types 8 and 1: x += rnd + (rnd&$7f) - $40.
Hub re-entry points after an underground stage (LAB_7260): stage1 -> list $D3BE progress 3744, stage2 -> $D562 progress 5152,
stage3 -> $D796 progress 7536.  'script' is +12 of the new record: type 0/3/D = script pointer, type 1 = vx (16.16), type 8 = vy (16.16).

== restart list (desc+4) at $0CFCE
  addr    trig     x     y  type  script    name
  $2E7A2: (20,0,$50,0) (16,1,$50,-1) (1,32,$00,0) (32,0,$80,1) (80,1,$20,0) END
  $2E7B8: (50,0,$50,0) (16,1,$50,-1) (1,32,$00,0) (32,0,$80,1) (60,1,$20,0) END
  $2E7CE: (90,0,$d0,0) (16,0,$d0,-1) END
  $2E7D8: (50,0,$d0,0) (16,0,$d0,-1) END
  $2E7E2: (-32,1,$00,1) (-35,1,$20,0) (-70,0,$20,0) (-70,0,$20,0) END
  $2E7F4: (-32,1,$00,1) (-100,1,$20,0) (-75,1,$20,0) END
  $2E802: (-32,-1,$80,1) (-105,-1,$20,0) (-105,-1,$20,0) END
  $2E810: (-32,-1,$80,1) (-35,-1,$20,0) (-20,0,$20,0) (-35,1,$20,0) (-32,1,$a0,-1) END
  $2E826: (32,0,$80,1) (32,1,$20,0) (32,0,$20,0) (40,1,$20,0) END
  $2E838: (32,-1,$00,1) (40,-1,$20,0) (80,0,$20,0) (80,0,$20,0) END
  $2E84A: (32,-1,$00,1) (60,-1,$20,0) (52,-1,$20,0) (32,0,$a0,-1) (16,-3,$00,0) (-32,1,$40,1) (-96,1,$60,0) END
  $2E868: (32,-1,$00,1) (46,-1,$20,0) (20,0,$20,0) (50,-1,$20,0) (32,0,$a0,-1) (8,-4,$00,0) (-32,-1,$c0,1) (-80,-1,$60,0) END
  $2E88A: (-90,0,$60,0) (-16,1,$60,0) (-32,1,$e0,-1) (32,-1,$00,1) (32,-1,$20,0) (32,0,$a0,-1) (1,-32,$00,0) (32,-1,$40,1) (32,0,$e0,-1) (1,-32,$00,0) (32,-1,$00,1) (25,-1,$20,0) (99,0,$20,0) (50,0,$20,0) END
  $2E8C4: (32,-1,$00,1) (80,-1,$20,0) (20,0,$20,0) (16,-1,$20,0) (32,0,$a0,-1) (8,-4,$00,0) (-32,1,$40,1) (-80,1,$60,0) END
  $2E904: (-30,0,$60,0) (-16,1,$60,0) (-32,1,$e0,-1) (8,4,$00,0) (32,0,$80,1) (16,1,$20,0) (99,0,$20,0) END
  $2E922: (-70,0,$60,0) (-16,1,$60,0) (-32,1,$e0,-1) (8,4,$00,0) (32,0,$80,1) (8,1,$20,0) (89,0,$20,0) END
  $2E940: (-40,0,$60,0) (-8,1,$e0,0) (-32,1,$e0,-1) (-32,1,$00,1) (-30,1,$20,0) (125,0,$20,0) END
  $2E95A: (-60,0,$60,0) (-8,-1,$e0,0) (-32,-1,$60,-1) (-32,-1,$80,1) (-8,-1,$20,0) (125,0,$20,0) END
  $2E974: (-50,0,$20,0) (-16,1,$20,0) (-32,1,$a0,-1) (-32,1,$40,1) (-16,1,$60,0) (-32,1,$e0,-1) (-32,1,$00,1) (-125,0,$20,0) END
  $2E996: (-80,0,$60,0) (-8,1,$60,0) (-32,1,$e0,-1) (-32,1,$00,1) (-32,1,$20,0) (-125,0,$20,0) END
  $2E9B0: (-80,0,$00,0) (-32,1,$00,1) (-40,1,$20,0) (-125,0,$20,0) END
  $2E9C2: (-32,-1,$80,1) (-70,-1,$20,0) (-125,0,$20,0) (-125,0,$20,0) END
  $2E9D4: (-32,-1,$80,1) (-20,-1,$20,0) (-125,0,$20,0) END
  $2E9E2: (32,-1,$40,1) (16,-1,$60,0) (32,0,$e0,-1) (1,-32,$00,0) (32,-1,$00,1) (16,-1,$20,0) (125,0,$20,0) END
  $2EA00: (32,0,$80,1) (125,0,$20,0) END
  $2EA0A: (60,0,$60,0) (32,0,$e0,-1) (1,-32,$00,0) (32,-1,$00,1) (60,-1,$20,0) (125,0,$20,0) (125,0,$20,0) END
  $2EA28: (16,1,$60,0) (32,1,$60,-1) (1,32,$00,0) (32,0,$80,1) (125,0,$20,0) END
  $2EA3E: (32,-1,$00,1) (30,-1,$20,0) (125,0,$20,0) END
  $2EA4C: (50,0,$60,0) (16,-1,$60,0) (32,0,$e0,-1) (1,-32,$00,0) (32,-1,$00,1) (20,-1,$20,0) (125,0,$20,0) (125,0,$20,0) END
  $2EA6E: (32,0,$80,1) (30,0,$20,0) (10,1,$20,0) (125,0,$20,0) END
